word,score
wiretv,463.6841449642896
acr,401.6798697655764
filessupport,354.05339751149245
belowfeatured,330.6894677264701
getty,317.21027746588027
flickr,286.6574462085434
reilly,286.6574462085434
screengrab,244.4226500586953
henningsen,232.7406851661841
bundy,223.30525198377123
cops,218.36288222155494
cdata,217.4642695375157
sht,186.01282559613944
somodevillagetty,185.11421291210013
busted,182.41837485998215
subscribing,170.736409967471
boiler,168.63964703804587
subscribe,153.66276897072387
hilariously,150.96693091860593
screenshot,150.51762457658626
