word,score
rakhine,686.6139449829997
myanmar,553.9093859242919
rohingya,518.5771448331894
puigdemont,508.5617064136643
zuma,405.0688427452381
suu,377.2481804687794
hariri,372.2404612590169
kyi,370.57122152242937
factbox,320.4940294248037
mnangagwa,310.47859100527864
odinga,308.25293802316196
anc,300.4631525857535
chinas,292.6733671483451
rajoy,280.4322757467033
fdp,277.09379627352826
krg,243.70900154177784
kuczynski,235.91921610436944
kurz,224.79095119378596
aung,219.22681873849425
barnier,217.00116575637753
